hour_timestamp,flood_avg_depth_cm,flood_avg_severity,flood_avg_duration
2023-04-04T00:00:00.000Z,18.0,39.6,90.0
2023-04-30T22:00:00.000Z,32.0,76.4,180.0
2023-05-27T15:00:00.000Z,18.0,39.6,90.0
2023-05-30T05:00:00.000Z,14.9,28.43,60.0
2023-06-30T12:00:00.000Z,5.6,21.919999999999998,60.0
2023-12-14T07:00:00.000Z,25.2,35.64,60.0
2024-06-15T20:00:00.000Z,8.5,23.95,60.0
2024-07-18T21:00:00.000Z,15.7,37.989999999999995,90.0
2023-02-11T20:00:00.000Z,24.5,44.15,90.0
2023-07-14T12:00:00.000Z,6.8,22.759999999999998,60.0
2023-10-30T12:00:00.000Z,9.4,33.58,90.0
2023-12-23T17:00:00.000Z,20.15,23.104999999999997,30.0
2024-03-14T21:00:00.000Z,15.2,37.64,90.0
2024-04-07T02:00:00.000Z,9.9,33.93,90.0
2023-04-10T20:00:00.000Z,9.0,24.3,60.0
2023-05-28T07:00:00.000Z,13.649999999999999,63.55499999999999,180.0
2023-09-01T07:00:00.000Z,41.2,64.84,120.0
2023-09-18T06:00:00.000Z,26.7,45.69,90.0
2023-10-16T01:00:00.000Z,21.7,51.19,120.0
2023-11-03T21:00:00.000Z,25.6,71.92,180.0
2023-11-28T07:00:00.000Z,11.5,26.049999999999997,60.0
2023-12-09T01:00:00.000Z,8.7,15.09,30.0
2024-01-26T21:00:00.000Z,27.0,36.9,60.0
2024-03-29T23:00:00.000Z,23.8,25.66,30.0
2024-05-04T13:00:00.000Z,19.4,31.58,60.0
2023-03-20T10:00:00.000Z,51.6,90.12,180.0
2023-04-05T15:00:00.000Z,23.8,34.66,60.0
2023-05-16T17:00:00.000Z,10.0,25.0,60.0
2023-07-13T02:00:00.000Z,30.4,30.279999999999998,30.0
2023-08-28T22:00:00.000Z,13.0,18.1,30.0
2023-10-28T10:00:00.000Z,49.5,52.65,60.0
2024-01-30T16:00:00.000Z,5.6,21.919999999999998,60.0
2024-02-26T07:00:00.000Z,6.9,22.83,60.0
2024-04-12T23:00:00.000Z,39.6,36.72,30.0
2023-10-13T05:00:00.000Z,21.0,32.7,60.0
2024-01-01T11:00:00.000Z,29.2,33.94,45.0
