hour_timestamp,street,district,lat,lng,flood_avg_depth_cm,flood_avg_severity,flood_avg_duration,point_report_count,has_flood
2023-01-18T07:00:00.000Z,Le Van Luong,Quan 7,10.736918,106.705425,5.0,57.5,180.0,1,1
2023-02-08T17:00:00.000Z,Nguyen Van Khoi,Go Vap,10.82839,106.691783,25.5,35.849999999999994,60.0,1,1
2023-02-16T09:00:00.000Z,Ta Quang Buu,Quan 8,10.745409,106.662922,21.1,41.769999999999996,90.0,1,1
2023-03-11T04:00:00.000Z,An Duong Vuong,Quan 6,10.755935,106.643834,5.0,39.5,120.0,1,1
2023-11-05T08:00:00.000Z,Nguyen Van Khoi,Go Vap,10.829539,106.694512,11.8,80.26,240.0,1,1
2023-12-28T05:00:00.000Z,To Ky,Quan 12,10.864662,106.631483,22.0,24.4,30.0,1,1
2023-02-17T07:00:00.000Z,Quang Trung,Go Vap,10.839386,106.664662,10.0,16.0,30.0,1,1
2023-04-21T13:00:00.000Z,Do Xuan Hop,Thu Duc,10.831567,106.781297,29.8,38.86,60.0,1,1
2023-05-21T23:00:00.000Z,Tran Nao,Quan 2,10.781686,106.737317,10.9,16.63,30.0,1,1
2023-09-14T22:00:00.000Z,Nguyen Trai,Quan 5,10.756225,106.66318,18.9,49.23,120.0,1,1
2023-11-15T14:00:00.000Z,Nguyen Trai,Quan 5,10.756986,106.664331,13.5,27.45,60.0,1,1
2024-01-02T20:00:00.000Z,Hoa Binh,Tan Phu,10.803242,106.621688,61.1,60.769999999999996,60.0,1,1
2023-05-07T02:00:00.000Z,Nguyen Anh Thu,Quan 12,10.877882,106.642906,5.0,21.5,60.0,1,1
2023-05-16T21:00:00.000Z,Vo Van Kiet,Quan 1,10.764011,106.699148,25.1,26.57,30.0,1,1
2023-06-09T21:00:00.000Z,Xo Viet Nghe Tinh,Binh Thanh,10.808352,106.709754,5.2,12.64,30.0,1,1
2023-06-29T21:00:00.000Z,Da Nam,Quan 8,10.741891,106.6726,18.4,84.88,240.0,1,1
2023-08-23T21:00:00.000Z,Quang Trung,Go Vap,10.839342,106.665053,11.2,16.84,30.0,1,1
2023-10-05T19:00:00.000Z,Pham Van Dong,Binh Thanh,10.817375,106.703764,10.6,25.419999999999998,60.0,1,1
2023-10-07T06:00:00.000Z,Hoa Binh,Tan Phu,10.803669,106.621848,14.3,28.009999999999998,60.0,1,1
2023-10-17T00:00:00.000Z,Phan Huy Ich,Go Vap,10.828818,106.671929,10.7,61.49,180.0,1,1
2023-10-26T15:00:00.000Z,Vo Van Ngan,Thu Duc,10.848523,106.770462,5.0,21.5,60.0,1,1
2023-11-06T07:00:00.000Z,Kha Van Can,Thu Duc,10.850924,106.754287,9.3,24.509999999999998,60.0,1,1
2023-12-01T21:00:00.000Z,Nguyen Trai,Quan 5,10.756959,106.663683,20.7,50.489999999999995,120.0,1,1
2024-01-06T12:00:00.000Z,Kha Van Can,Thu Duc,10.85033,106.75267,9.7,15.79,30.0,1,1
2024-08-24T16:00:00.000Z,Tan Ky Tan Quy,Binh Tan,10.78682,106.603521,16.4,83.48,240.0,1,1
2023-01-02T15:00:00.000Z,Tam Binh,Thu Duc,10.861055,106.74029,11.1,34.769999999999996,90.0,1,1
2023-01-25T11:00:00.000Z,Xo Viet Nghe Tinh,Binh Thanh,10.8065,106.713399,25.1,35.57,60.0,1,1
2023-02-13T23:00:00.000Z,Vo Van Ngan,Thu Duc,10.852117,106.772621,15.4,28.78,60.0,1,1
2023-03-07T21:00:00.000Z,Phan Huy Ich,Go Vap,10.829991,106.67141,5.3,21.71,60.0,1,1
2023-04-26T15:00:00.000Z,Ung Van Khiem,Binh Thanh,10.811082,106.710696,5.0,30.5,90.0,1,1
2023-05-05T23:00:00.000Z,CMT8,Quan 3,10.783349,106.681322,20.6,32.42,60.0,1,1
2023-08-17T07:00:00.000Z,Hau Giang,Quan 6,10.748382,106.638626,14.4,19.08,30.0,1,1
2023-09-14T19:00:00.000Z,Pham Van Dong,Binh Thanh,10.81956,106.701731,11.4,25.98,60.0,1,1
2023-12-31T01:00:00.000Z,Pham Van Dong,Binh Thanh,10.817174,106.702807,20.9,41.629999999999995,90.0,1,1
2024-05-02T08:00:00.000Z,Le Thi Rieng,Quan 12,10.863463,106.646549,9.0,15.3,30.0,1,1
2024-05-19T22:00:00.000Z,Kinh Duong Vuong,Quan 6,10.741642,106.614478,50.4,107.28,240.0,1,1
2024-08-10T01:00:00.000Z,No Trang Long,Binh Thanh,10.817247,106.697011,24.0,43.8,90.0,1,1
2024-08-17T17:00:00.000Z,Nguyen Trai,Quan 5,10.757693,106.662632,6.2,13.34,30.0,1,1
2023-02-17T04:00:00.000Z,No Trang Long,Binh Thanh,10.816839,106.696945,29.1,92.37,240.0,1,1
2023-03-02T17:00:00.000Z,Nguyen Thi Thap,Quan 7,10.742223,106.715497,50.7,44.49,30.0,1,1
2023-07-13T02:00:00.000Z,Ta Quang Buu,Quan 8,10.744529,106.666467,30.4,30.279999999999998,30.0,1,1
